County,Correlation
herkimer, 0.9607
oneida, 0.9463
ulster, 0.8977
schoharie, 0.8907
cayuga, 0.8783
warren, 0.8638
st_lawrence, 0.8627
fulton, 0.8545
albany, 0.8067
sullivan, 0.8017
otsego, 0.7787
bronx, 0.7441
orange, 0.7274
jefferson, 0.7213
tompkins, 0.6878
franklin, 0.6484
oswego, 0.6480
clinton, 0.6292
orleans, 0.6032
suffolk, 0.5422
rensselaer, 0.5380
onondaga, 0.5248
essex, 0.5203
cattaraugus, 0.4391
madison, 0.3858
broome, 0.3778
richmond, 0.1905
livingston, 0.1107
wayne, 0.0855
dutchess, 0.0100
